Merek HP,Ukuran Layar,Prosesor,GPU,RAM,Memori Internal,Harga
OPPO A3,6.67 inch,Snapdragon 6s Gen 1,Adreno 610,8 GB,128 GB,Rp. 2.499.000
realme Note 60,6.74 inch,Tiger T621,Mali-G57,4 GB,64 GB,Rp. 1.250.000
OPPO Reno 12 F 5G,6.67 inch,Snapdragon 685,Adreno 610,8 GB,256 GB,Rp. 3.720.000
realme 13,6.7 inch,Snapdragon 685,Adreno 610,8 GB,128 GB,Rp. 2.775. 000
OPPO A3x,6.67 inch,Snapdragon 6s 4G Gen1,Adreno 610,6 GB,128 GB,Rp. 2.039.000
Samsung Galaxy Z Fold6,7.6 inch,Snapdragon 8 Gen 3,Adreno 750,12 GB,1 TB,Rp. 27.200.000
Samsung Galaxy Z Flip6,6.7 inch,Snapdragon 8 Gen 3,Adreno 750,12 GB,512 GB,Rp. 15.800.000
POCO F6,6.67 inch,Snapdragon 8s Gen 3,Adreno 735,8 GB,256 GB,Rp. 4.750.000
Redmi 13,6.79 inch,Helio G91 Ultra,Mali-G52 MC2,8 GB,128 GB,Rp. 1.690.000
vivo V30e,6.78 inch,Snapdragon 6 Gen 1,Adreno 710,8 GB,256 GB,Rp. 4.025.000
Samsung Galaxy A55 5G,6.6 inch,Exynos 1480,Xclipse 530,12 GB,256 GB,Rp. 6.000.000
Samsung Galaxy A35 5G,6.6 inch,Exynos 1380,Mali-G68 MP5,8 GB,256 GB,Rp. 4.265.000
Samsung Galaxy S24,6.2 inch,Exynos 2400,Xclipse 940,8 GB,512 GB,Rp. 13.399.000
realme 12 Pro+ 5G,6.7 inch,Snapdragon 7s Gen2,Adreno 710,12 GB,512 GB,Rp. 6.365.000
vivo Y100 5G,6.67 inch,Snapdragon 4 Gen 2,Adreno 613,8 GB,128 GB,Rp. 3.385.000
Samsung Galaxy A15,6.5 inch,Helio G99,Mali-G57 MC2,8 GB,258 GB,Rp. 2.600.000
POCO C56,6.74 inch,Helio G85,Mali-G52 MC2,6 GB,128 GB,Rp. 1.370.000
vivo V29 5G,6.78 inch,Snapdragon 778G 5G,Adreno 642L,12 GB,512 GB,Rp. 6.999.000
Infinix Note 40,6.78 inch,Mediatek Helio G99 Ultimate,Mali-G57 MC2,8 GB,256 GB,Rp. 2.800.000
Oppo Reno 11 5G,6.7 inch,Mediatek Dimensity 7050,Mali-G68 MC4,12 GB,256 GB,Rp. 5.500.000
iPhone 15 Plus,6.1 inch,A16 Bionic ,Apple GPU,6 GB ,128 GB,Rp. 15.250.000
vivo V40 5G,6.78 inch,Snapdragon 7 Gen 3,Adreno 720,12 GB,256 GB,Rp. 5.950.000
iPhone 14 Pro Max,6.1 inch,A16 Bionic ,Apple GPU ,6 GB,512 GB,Rp. 20.499.000
Infinix Hot 40i,6.56 inch,Unisoc T606,Mali-G57 MP1,8 GB,256 GB,Rp. 1.400.000
OPPO A98 5G,6.72 inch,Snapdragon 695 5G,Adreno 619,8 GB,256 GB,Rp. 3.500.000
OPPO A38,6.56 inch,Helio G85,Mali-G52 MC2,4 GB,128 GB,Rp. 1.655.000
iPhone 13,5.4 inch,A15 Bionic,Apple GPU ,4 GB,256 GB,Rp. 12.000.000
OPPO A18,6.56 inch,Helio G85,Mali-G52 MC2,4 GB,128 GB,Rp. 1.420.000
Redmi Note 13 Pro+ 5G,6.67 inch,Mediatek Dimensity 7200 Ultra,Mali-G610 MC4,12 GB,512 GB,Rp. 5.999.000
Infinix Note 40 Pro 5G,6.78 inch,Mediatek Dimensity 7020 ,IMG BXM-8-256,8 GB,256 GB,Rp. 3.800.000
